gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
2629139298,63ed64cb-90b7-4ecc-b94c-3a0317742379,urn:catalog:ENCB-IPN:ENCB:10377:fc04a8abfea63902cd9bef3b64cc92ba,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus triseriatus,,SPECIES,"Crotalus triseriatus Wagler, 1830",Crotalus triseriatus subsp. triseriatus,"(Wagler, 1830)",MX,"11.2 km N, 33 km E Cananea",Sonora,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,31.082701,-110.003304,,,0,0,0,0,1977-09-21T00:00:00,21,9,1977,2444358,2444358,PRESERVED_SPECIMEN,ENCB-IPN,ENCB,10377,,T. ALVAREZ,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),P. Domínguez,,,2020-12-15T17:34:55.484Z,,COORDINATE_ROUNDED;TAXON_MATCH_HIGHERRANK;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_COLLECTION_MISMATCH;DIFFERENT_OWNER_INSTITUTION
2629126588,63ed64cb-90b7-4ecc-b94c-3a0317742379,urn:catalog:ENCB-IPN:ENCB:10376:183ec4123de7cd1dffa7204b8214ff55,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus triseriatus,,SPECIES,"Crotalus triseriatus Wagler, 1830",Crotalus triseriatus subsp. triseriatus,"(Wagler, 1830)",MX,"11.2 km N, 33 km E Cananea",Sonora,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,31.082701,-110.003304,,,0,0,0,0,1977-09-21T00:00:00,21,9,1977,2444358,2444358,PRESERVED_SPECIMEN,ENCB-IPN,ENCB,10376,,T. ALVAREZ,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),P. Domínguez,,,2020-12-15T17:20:59.828Z,,COORDINATE_ROUNDED;TAXON_MATCH_HIGHERRANK;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_COLLECTION_MISMATCH;DIFFERENT_OWNER_INSTITUTION
2382385405,fb639e31-52eb-4998-afb1-984ee12aca0f,http://arctos.database.museum/guid/MSB:Herp:8877?seid=4333665,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus triseriatus,,SPECIES,"Crotalus triseriatus Wagler, 1830",Crotalus triseriatus,,US,"Rattlesnake Canyon, Chiricahua Mountains",Arizona,PRESENT,1,939ed180-aa7b-11db-8edf-b8a03c50a862,31.910274,-109.316955,915,,,,,,1949-06-17T00:00:00,17,6,1949,2444358,2444358,PRESERVED_SPECIMEN,MSB,Amphibian and reptile specimens,MSB:Herp:8877,117,William G. Degenhardt,2019-03-13T00:00:00,CC_BY_NC_4_0,,Collector(s): William G. Degenhardt,,,2021-01-28T22:36:17.214Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1894950161,7feba584-f762-11e1-a439-00145eb45e9a,urn:catalog:UMMZ:UMMZ:78456:cf254fb5fa6e848ed02d6baf76ec1346,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus triseriatus,,SPECIES,"Crotalus triseriatus Wagler, 1830",Crotalus triseriatus,"(Wagler, 1830)",MX,"Tigre, el",Sonora,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,30.591667,-109.225,,,0,0,0,0,,,,,2444358,2444358,PRESERVED_SPECIMEN,UMMZ,UMMZ,78456,,NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),NO DISPONIBLE,,,2021-01-22T17:17:34.050Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
1894950065,7feba584-f762-11e1-a439-00145eb45e9a,urn:catalog:MCZ-HU:MCZ:15860:3730cb56bf19e124b2ccc6e301130d59,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus triseriatus,,SPECIES,"Crotalus triseriatus Wagler, 1830",Crotalus triseriatus,"(Wagler, 1830)",MX,PACHECO,Chihuahua,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,30.091667,-108.358333,,,0,0,0,0,,,,,2444358,2444358,PRESERVED_SPECIMEN,MCZ-HU,MCZ,15860,,NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),NO DISPONIBLE,,,2021-01-22T17:17:29.383Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_NONE
1894950117,7feba584-f762-11e1-a439-00145eb45e9a,urn:catalog:MCZ-HU:MCZ:7092:f48db38a2f51523ced99aa770ffc90d7,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus triseriatus,,SPECIES,"Crotalus triseriatus Wagler, 1830",Crotalus triseriatus,"(Wagler, 1830)",MX,Colonia García,Chihuahua,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,29.975,-108.341667,,,1333,1333,0,0,,,,,2444358,2444358,PRESERVED_SPECIMEN,MCZ-HU,MCZ,7092,,NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),NO DISPONIBLE,,,2021-01-22T17:17:40.794Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_NONE
1894950041,7feba584-f762-11e1-a439-00145eb45e9a,urn:catalog:SMNK:LNK:3496-501:0639c90625e4ffcb5b7549388087023f,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus triseriatus,,SPECIES,"Crotalus triseriatus Wagler, 1830",Crotalus triseriatus,"(Wagler, 1830)",MX,Colonia García,Chihuahua,PRESENT,6,ff90b050-c256-11db-b71b-b8a03c50a862,29.975,-108.341667,,,1333,1333,0,0,,,,,2444358,2444358,PRESERVED_SPECIMEN,SMNK,LNK,3496-501,,NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),NO DISPONIBLE,,,2021-01-22T17:17:39.084Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;DIFFERENT_OWNER_INSTITUTION
1894950029,7feba584-f762-11e1-a439-00145eb45e9a,urn:catalog:NMNH-SI:USNM:46327-329:28ee9f92715ce02fc8f71e0f7576e2b4,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus triseriatus,,SPECIES,"Crotalus triseriatus Wagler, 1830",Crotalus triseriatus,"(Wagler, 1830)",MX,Colonia García,Chihuahua,PRESENT,3,ff90b050-c256-11db-b71b-b8a03c50a862,29.975,-108.341667,,,1333,1333,0,0,,,,,2444358,2444358,PRESERVED_SPECIMEN,NMNH-SI,USNM,46327-329,,NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),NO DISPONIBLE,,,2021-01-22T17:17:37.585Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_FUZZY
1894950063,7feba584-f762-11e1-a439-00145eb45e9a,urn:catalog:NMNH-SI:USNM:26594:b69ef0e11fc97346db3f1750d1c3897a,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus triseriatus,,SPECIES,"Crotalus triseriatus Wagler, 1830",Crotalus triseriatus,"(Wagler, 1830)",MX,"PIEDRAS VERDES, RIO",Chihuahua,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,30.258333,-108.308333,,,1133,1133,0,0,,,,,2444358,2444358,PRESERVED_SPECIMEN,NMNH-SI,USNM,26594,,NO DISPONIBLE,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),NO DISPONIBLE,,,2021-01-22T17:17:38.260Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_FUZZY
476681172,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,MCZ:Herp:R-19050,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus triseriatus,,SPECIES,"Crotalus triseriatus Wagler, 1830","Crotalus triseriatus (Wagler, 1830)","(Wagler, 1830)",MX,"Mound Valley nr Yarcia Chihuahua,Mexico",Chihuahua,PRESENT,1,b4640710-8e03-11d8-b956-b8a03c50a862,29.73349049,-108.2336994,,,,,,,1921-12-25T00:00:00,25,12,1921,2444358,2444358,PRESERVED_SPECIMEN,MCZ,Herp,R-19050,1669,Catalog,,CC_BY_NC_4_0,President and Fellows of Harvard College,Herbert C. Clark,,,2021-01-27T22:28:36.063Z,,COORDINATE_REPROJECTED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_COLLECTION_MISMATCH;DIFFERENT_OWNER_INSTITUTION
